timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
84128000,6,1497.59,1495.92,1501.15,1497.46,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84228000,6,1471.03,1533.97,1497.2,1494.52,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84328000,6,1523.23,1501.32,1485.84,1499.38,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84428000,6,1542.02,1486.08,1488.77,1503.14,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84528000,6,1542.34,1492.36,1510.38,1483.85,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84628000,6,1548.68,1477.63,1536.67,1484.13,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84732000,6,1530.94,1514.57,1529.16,1520.43,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84828000,6,1526.97,1522.89,1535.56,1539.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84928000,6,1537.01,1518.41,1543.31,1530.48,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85028000,6,1527.23,1530.54,1539.57,1545.46,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85128000,6,1541.35,1518.66,1545.42,1530.28,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85228000,6,1536.27,1517.66,1539.42,1522.05,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85328000,6,1519.14,1532.62,1536.59,1537.29,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85428000,6,1518.14,1527.64,1529.53,1535.96,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85532000,6,1506.14,1526.23,1512.03,1534.17,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85628000,6,1502.67,1522.63,1511.04,1526.71,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85732000,6,1525.1,1502.17,1521.84,1508.04,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85828000,6,1506.8,1521.4,1515.58,1511.94,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85928000,6,1531.69,1499.44,1540.96,1487.93,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86028000,6,1515.02,1520.55,1504.9,1526.24,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86128000,6,1509.04,1519.53,1506.3,1525.08,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86228000,6,1513.77,1512.29,1511.17,1521.84,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86328000,6,1517.05,1515.82,1512.67,1513.43,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86428000,6,1517.01,1514.96,1510.59,1520.08,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86528000,6,1507.78,1528.16,1503.08,1531.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86628000,6,1504.75,1530.21,1505.91,1522.12,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86728000,6,1518.73,1524.82,1512.49,1528.5,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86832000,6,1534.59,1522.47,1534.46,1521.32,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
