timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
97656000,0.0242122,2.94963e-05,0.00303458,0.112802,0.02055,0.0591763,0.991641,0.0,0.0,0.0,0.0,0
97664000,0.0294228,0.0144099,0.00272462,0.112787,0.0205482,0.0592784,0.991637,0.0,0.0,0.0,0.0,0
97680000,0.0447045,0.0397047,0.00237943,0.112749,0.0203764,0.0595766,0.991627,0.0,0.0,0.0,0.0,0
97688000,0.0443792,0.0256116,0.00247109,0.112727,0.0202517,0.0597711,0.99162,0.0,0.0,0.0,0.0,0
97704000,0.0476143,0.000604354,0.00279593,0.112692,0.0201783,0.0601349,0.991603,0.0,0.0,0.0,0.0,0
97712000,0.0490536,0.00909463,0.00262901,0.112677,0.0201931,0.0603263,0.991593,0.0,0.0,0.0,0.0,0
97728000,0.0485095,0.0235911,0.00258151,0.112639,0.0201125,0.0607323,0.991574,0.0,0.0,0.0,0.0,0
97736000,0.0507225,0.0141936,0.00252465,0.112619,0.0200483,0.0609345,0.991565,0.0,0.0,0.0,0.0,0
97752000,0.0635242,-0.00663631,0.00220573,0.112591,0.0200949,0.0613814,0.99154,0.0,0.0,0.0,0.0,0
97760000,0.0602357,0.00879245,0.00206468,0.112578,0.0201358,0.0616316,0.991525,0.0,0.0,0.0,0.0,0
97776000,0.0498058,0.000132155,0.00209437,0.112548,0.0201095,0.062078,0.991501,0.0,0.0,0.0,0.0,0
97784000,0.0534988,-0.0119243,0.00200206,0.112536,0.0201446,0.0622773,0.991489,0.0,0.0,0.0,0.0,0
97800000,0.0586818,-0.0095418,0.00151051,0.112518,0.0202859,0.0627111,0.991461,0.0,0.0,0.0,0.0,0
97808000,0.0622552,-0.0093736,0.0015194,0.112509,0.0203507,0.062945,0.991446,0.0,0.0,0.0,0.0,0
97824000,0.0392517,-0.0176423,0.00130224,0.112495,0.0204923,0.0633669,0.991418,0.0,0.0,0.0,0.0,0
97832000,0.039758,-0.0181494,0.00158278,0.112491,0.0205848,0.0635109,0.991407,0.0,0.0,0.0,0.0,0
97848000,0.0490468,-0.00116613,0.00205601,0.112477,0.0207137,0.0638591,0.991384,0.0,0.0,0.0,0.0,0
97856000,0.0456152,-0.00211187,0.00151318,0.112465,0.0207392,0.0640502,0.991372,0.0,0.0,0.0,0.0,0
97872000,0.0477306,-0.00777863,0.00112484,0.112448,0.0208136,0.0644135,0.991349,0.0,0.0,0.0,0.0,0
97880000,0.0431711,-0.00792671,0.000545874,0.112443,0.0208663,0.0645966,0.991337,0.0,0.0,0.0,0.0,0
97896000,0.0345629,0.0130144,0.00045277,0.112433,0.0209199,0.0649101,0.991316,0.0,0.0,0.0,0.0,0
97904000,0.0323811,0.0121221,0.000455404,0.112425,0.0208807,0.0650501,0.991309,0.0,0.0,0.0,0.0,0
97920000,0.0254847,-0.0246149,0.000576794,0.112416,0.0209119,0.0652806,0.991294,0.0,0.0,0.0,0.0,0
97928000,0.0292407,-0.0283817,0.000627783,0.112419,0.0210307,0.0653698,0.991285,0.0,0.0,0.0,0.0,0
97944000,0.043188,-0.00233573,0.000725044,0.112416,0.0211945,0.0656497,0.991264,0.0,0.0,0.0,0.0,0
97952000,0.036372,-0.00866256,0.00095811,0.11241,0.0212271,0.0658137,0.991253,0.0,0.0,0.0,0.0,0
97968000,0.0142143,-0.0351847,0.0015018,0.112405,0.0214061,0.0660093,0.991236,0.0,0.0,0.0,0.0,0
97976000,0.0264351,-0.0336773,0.00148434,0.112407,0.0215571,0.0660586,0.99123,0.0,0.0,0.0,0.0,0
97992000,0.0476279,0.000414696,0.00115186,0.112401,0.0217561,0.0663371,0.991207,0.0,0.0,0.0,0.0,0
98000000,0.0377649,-0.00105624,0.0011317,0.112393,0.0217729,0.0665205,0.991196,0.0,0.0,0.0,0.0,0
98016000,0.0118982,-0.0287082,0.00124372,0.112386,0.0218963,0.0667052,0.991181,0.0,0.0,0.0,0.0,0
98024000,0.0162285,-0.0206262,0.00149583,0.112387,0.0220111,0.0667432,0.991176,0.0,0.0,0.0,0.0,0
98040000,0.0140419,0.114305,0.00139308,0.112365,0.0219274,0.0668931,0.99117,0.0,0.0,0.0,0.0,0
98048000,0.0070003,0.202186,0.00101299,0.112322,0.0213821,0.0670051,0.99118,0.0,0.0,0.0,0.0,0
98064000,-0.0879732,0.235998,4.7528e-06,0.112198,0.0195909,0.0670902,0.991225,0.0,0.0,0.0,0.0,0
98072000,-0.153495,0.246701,-0.000467581,0.112143,0.0186041,0.0667699,0.991272,0.0,0.0,0.0,0.0,0
98088000,-0.273423,0.326468,-0.00175658,0.112033,0.0162688,0.0654884,0.991411,0.0,0.0,0.0,0.0,0
98096000,-0.349334,0.359562,-0.00235328,0.111971,0.0148025,0.0644802,0.991507,0.0,0.0,0.0,0.0,0
98104000,-0.419672,0.356455,-0.00250025,0.111908,0.0132081,0.0631913,0.991619,0.0,0.0,0.0,0.0,0
98120000,-0.521102,0.338714,-0.00316773,0.111803,0.010039,0.059806,0.991878,0.0,0.0,0.0,0.0,0
98136000,-0.604498,0.366589,-0.00419264,0.111707,0.00680398,0.0557761,0.992151,0.0,0.0,0.0,0.0,0
98144000,-0.649824,0.379273,-0.00467391,0.111658,0.0050555,0.0534923,0.992293,0.0,0.0,0.0,0.0,0
98160000,-0.716999,0.348482,-0.00588329,0.111565,0.00150038,0.0484666,0.992573,0.0,0.0,0.0,0.0,0
98168000,-0.740323,0.330893,-0.00618475,0.111526,-0.000185192,0.0457472,0.992708,0.0,0.0,0.0,0.0,0
98184000,-0.780332,0.361457,-0.00624646,0.111447,-0.00355239,0.0400568,0.992956,0.0,0.0,0.0,0.0,0
98192000,-0.793854,0.351159,-0.00628487,0.111402,-0.00533442,0.0371028,0.993068,0.0,0.0,0.0,0.0,0
98200000,-0.810428,0.333417,-0.00626781,0.111358,-0.00706336,0.0340927,0.99317,0.0,0.0,0.0,0.0,0
98216000,-0.843529,0.319654,-0.00661132,0.111269,-0.0104109,0.027815,0.993346,0.0,0.0,0.0,0.0,0
98224000,-0.839052,0.315125,-0.00701323,0.111225,-0.0120491,0.0246094,0.993417,0.0,0.0,0.0,0.0,0
98240000,-0.833661,0.311762,-0.00698664,0.111135,-0.0152943,0.0182338,0.99352,0.0,0.0,0.0,0.0,0
98256000,-0.838924,0.310056,-0.00740122,0.111042,-0.0185178,0.011888,0.993572,0.0,0.0,0.0,0.0,0
98264000,-0.834972,0.289464,-0.00764395,0.110994,-0.0201051,0.00868841,0.99358,0.0,0.0,0.0,0.0,0
98280000,-0.810375,0.277346,-0.00744179,0.1109,-0.0230539,0.00238523,0.993561,0.0,0.0,0.0,0.0,0
98288000,-0.79525,0.273771,-0.00789208,0.110852,-0.0245163,-0.000701877,0.993534,0.0,0.0,0.0,0.0,0
98304000,-0.769903,0.248222,-0.00774632,0.11076,-0.0273059,-0.0067013,0.993449,0.0,0.0,0.0,0.0,0
98312000,-0.749485,0.241566,-0.00765467,0.110713,-0.0286232,-0.00963354,0.993393,0.0,0.0,0.0,0.0,0
98328000,-0.707014,0.227154,-0.00742115,0.110622,-0.0311494,-0.0152438,0.993257,0.0,0.0,0.0,0.0,0
98336000,-0.690869,0.215423,-0.00760659,0.110578,-0.0323509,-0.0179375,0.993179,0.0,0.0,0.0,0.0,0
98352000,-0.664892,0.208679,-0.00775316,0.110492,-0.0346418,-0.0231744,0.993003,0.0,0.0,0.0,0.0,0
98360000,-0.632626,0.190899,-0.00727357,0.110449,-0.0357483,-0.0256995,0.992906,0.0,0.0,0.0,0.0,0
98376000,-0.580681,0.168805,-0.00748483,0.110368,-0.0376832,-0.0303713,0.992712,0.0,0.0,0.0,0.0,0
98384000,-0.568596,0.179143,-0.00706838,0.110331,-0.038617,-0.0325911,0.99261,0.0,0.0,0.0,0.0,0
98400000,-0.528924,0.177582,-0.00711722,0.110263,-0.04058,-0.0368486,0.99239,0.0,0.0,0.0,0.0,0
98408000,-0.494431,0.139749,-0.00677057,0.110231,-0.041479,-0.0388397,0.99228,0.0,0.0,0.0,0.0,0
98424000,-0.4715,0.126366,-0.00643638,0.11016,-0.0428527,-0.0425478,0.992078,0.0,0.0,0.0,0.0,0
98432000,-0.461747,0.160118,-0.00657101,0.110128,-0.0435956,-0.044354,0.99197,0.0,0.0,0.0,0.0,0
98448000,-0.4588,0.169013,-0.00638249,0.11008,-0.0453659,-0.0478174,0.991735,0.0,0.0,0.0,0.0,0
98456000,-0.456057,0.133739,-0.00606575,0.110053,-0.0462037,-0.0495685,0.991613,0.0,0.0,0.0,0.0,0
98464000,-0.453272,0.117276,-0.0058765,0.110018,-0.0469016,-0.0513098,0.991496,0.0,0.0,0.0,0.0,0
98480000,-0.484141,0.20504,-0.00527959,0.109948,-0.0484771,-0.0548812,0.991236,0.0,0.0,0.0,0.0,0
98496000,-0.526676,0.202604,-0.00458553,0.109889,-0.0506074,-0.0586382,0.990921,0.0,0.0,0.0,0.0,0
98504000,-0.536229,0.167549,-0.00423862,0.109845,-0.0516088,-0.0606545,0.990753,0.0,0.0,0.0,0.0,0
98520000,-0.539942,0.192781,-0.00286294,0.109731,-0.053365,-0.0647539,0.990413,0.0,0.0,0.0,0.0,0
98528000,-0.546945,0.237904,-0.0022387,0.109679,-0.0544163,-0.0668088,0.990225,0.0,0.0,0.0,0.0,0
98544000,-0.596943,0.239451,-0.000590897,0.109578,-0.0568624,-0.0710559,0.989803,0.0,0.0,0.0,0.0,0
98552000,-0.609514,0.219702,0.000227052,0.109509,-0.0580526,-0.0733336,0.989576,0.0,0.0,0.0,0.0,0
98568000,-0.631966,0.238916,0.00204155,0.109341,-0.0603047,-0.0780147,0.989101,0.0,0.0,0.0,0.0,0
98576000,-0.628503,0.261965,0.00339825,0.109255,-0.0615518,-0.0804061,0.988842,0.0,0.0,0.0,0.0,0
98592000,-0.647647,0.257568,0.00607478,0.109078,-0.0641924,-0.0851534,0.988297,0.0,0.0,0.0,0.0,0
98600000,-0.656262,0.238745,0.00710803,0.108971,-0.0654762,-0.0876147,0.988009,0.0,0.0,0.0,0.0,0
98616000,-0.676383,0.278658,0.00904912,0.108735,-0.0680605,-0.0926538,0.9874,0.0,0.0,0.0,0.0,0
98624000,-0.663443,0.276894,0.00976079,0.108619,-0.0694637,-0.0951924,0.987074,0.0,0.0,0.0,0.0,0
98640000,-0.673153,0.265165,0.0123304,0.10837,-0.0721979,-0.1002,0.986409,0.0,0.0,0.0,0.0,0
98648000,-0.664316,0.257916,0.0131999,0.108232,-0.0735319,-0.102734,0.986065,0.0,0.0,0.0,0.0,0
98656000,-0.649676,0.257342,0.0141006,0.10809,-0.0748339,-0.105216,0.985721,0.0,0.0,0.0,0.0,0
98672000,-0.625896,0.252208,0.0162537,0.107803,-0.0774567,-0.11007,0.98502,0.0,0.0,0.0,0.0,0
98688000,-0.593304,0.230859,0.0178727,0.107502,-0.0798851,-0.114662,0.984334,0.0,0.0,0.0,0.0,0
98696000,-0.574462,0.232891,0.0188867,0.107348,-0.0810568,-0.116876,0.983995,0.0,0.0,0.0,0.0,0
98712000,-0.530964,0.204155,0.0202522,0.107042,-0.0833477,-0.121074,0.983329,0.0,0.0,0.0,0.0,0
98720000,-0.505139,0.173771,0.0209058,0.106882,-0.084355,-0.123046,0.983016,0.0,0.0,0.0,0.0,0
98728000,-0.47304,0.156533,0.0216157,0.106714,-0.0852404,-0.124923,0.982721,0.0,0.0,0.0,0.0,0
98744000,-0.386139,0.133271,0.0231982,0.106386,-0.0868288,-0.128266,0.982187,0.0,0.0,0.0,0.0,0
98752000,-0.352877,0.109911,0.0236653,0.106229,-0.0874993,-0.129679,0.981959,0.0,0.0,0.0,0.0,0
98768000,-0.289399,0.0670889,0.02423,0.105902,-0.0885389,-0.132218,0.981562,0.0,0.0,0.0,0.0,0
98784000,-0.20242,0.0456752,0.0246604,0.105593,-0.0892467,-0.134163,0.981267,0.0,0.0,0.0,0.0,0
98792000,-0.158476,0.0253307,0.0246219,0.105449,-0.0895002,-0.134886,0.98116,0.0,0.0,0.0,0.0,0
98808000,-0.107716,-0.00590759,0.0243487,0.105176,-0.0897544,-0.135905,0.981026,0.0,0.0,0.0,0.0,0
98816000,-0.0821111,-0.0324839,0.0240727,0.105038,-0.089762,-0.136302,0.980985,0.0,0.0,0.0,0.0,0
98832000,-0.0157779,-0.0541223,0.0231589,0.104762,-0.0894969,-0.13679,0.980971,0.0,0.0,0.0,0.0,0
