%timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
19456000,0.0,0.610865,-0.0369914,0.0,0.953554,0.00556145,0.300654,-0.0176387,0.0,0.0,-0.08,1,0,0,0,0,0
19552000,0.0,0.610865,-0.0374312,0.0,0.95355,0.00562757,0.300653,-0.0178484,0.0,0.0,-0.08,1,0,0,0,0,0
19652000,0.0,0.610865,-0.0375073,0.0,0.953549,0.005639,0.300653,-0.0178846,0.0,0.0,-0.08,1,0,0,0,0,0
19756000,0.0,0.610865,-0.00265967,0.0,0.953716,0.000399888,0.300706,-0.00126828,0.0,0.0,-0.08,1,0,0,0,0,0
19856000,0.0,0.610865,-0.00193435,0.0,0.953716,0.000290835,0.300706,-0.000922409,0.0,0.0,-0.08,1,0,0,0,0,0
19956000,0.0,0.610865,-0.00131788,0.0,0.953717,0.000198147,0.300706,-0.000628441,0.0,0.0,-0.08,1,0,0,0,0,0
20052000,0.0,0.610865,-0.000610048,0.0,0.953717,9.17225e-05,0.300706,-0.000290907,0.0,0.0,-0.08,1,0,0,0,0,0
20152000,0.0,0.610865,0.000355746,0.0,0.953717,-5.34874e-05,0.300706,0.00016964,0.0,0.0,-0.08,1,0,0,0,0,0
20256000,0.0,0.610865,0.00129704,0.0,0.953717,-0.000195014,0.300706,0.000618504,0.0,0.0,-0.08,1,0,0,0,0,0
20356000,0.0,0.610865,0.00143597,0.0,0.953717,-0.000215903,0.300706,0.000684757,0.0,0.0,-0.08,1,0,0,0,0,0
20452000,0.0,0.610865,0.00153707,0.0,0.953717,-0.000231103,0.300706,0.000732964,0.0,0.0,-0.08,1,0,0,0,0,0
20552000,0.0,0.610865,0.00183812,0.0,0.953717,-0.000276366,0.300706,0.000876521,0.0,0.0,-0.08,1,0,0,0,0,0
20652000,0.0,0.610865,0.00189043,0.0,0.953717,-0.000284232,0.300706,0.000901469,0.0,0.0,-0.08,1,0,0,0,0,0
20752000,0.0,0.610865,0.00192408,0.0,0.953716,-0.000289291,0.300706,0.000917512,0.0,0.0,-0.08,1,0,0,0,0,0
20852000,0.0,0.610865,0.00176474,0.0,0.953717,-0.000265334,0.300706,0.000841532,0.0,0.0,-0.08,1,0,0,0,0,0
20952000,0.0,0.610865,0.00187339,0.0,0.953717,-0.00028167,0.300706,0.000893344,0.0,0.0,-0.08,1,0,0,0,0,0
21052000,0.0,0.610865,0.00196874,0.0,0.953716,-0.000296006,0.300706,0.000938809,0.0,0.0,-0.08,1,0,0,0,0,0
21156000,0.0,0.610865,0.00189467,0.0,0.953716,-0.00028487,0.300706,0.000903492,0.0,0.0,-0.08,1,0,0,0,0,0
21256000,0.0,0.610865,0.00210744,0.0,0.953716,-0.000316859,0.300706,0.00100495,0.0,0.0,-0.08,1,0,0,0,0,0
21348000,0.0,0.610865,0.00247656,0.0,0.953716,-0.000372358,0.300706,0.00118097,0.0,0.0,-0.08,1,0,0,0,0,0
21452000,0.0,0.610865,0.00255693,0.0,0.953716,-0.000384443,0.300706,0.0012193,0.0,0.0,-0.08,1,0,0,0,0,0
21556000,0.0,0.610865,0.00265007,0.0,0.953716,-0.000398445,0.300706,0.00126371,0.0,0.0,-0.08,1,0,0,0,0,0
21652000,0.0,0.610865,0.00302747,0.0,0.953716,-0.000455189,0.300706,0.00144368,0.0,0.0,-0.08,1,0,0,0,0,0
21756000,0.0,0.610865,0.0034572,0.0,0.953716,-0.000519801,0.300705,0.0016486,0.0,0.0,-0.08,1,0,0,0,0,0
21852000,0.0,0.610865,0.00337941,0.0,0.953716,-0.000508103,0.300705,0.0016115,0.0,0.0,-0.08,1,0,0,0,0,0
21956000,0.0,0.610865,0.00348028,0.0,0.953716,-0.00052327,0.300705,0.0016596,0.0,0.0,-0.08,1,0,0,0,0,0
22056000,0.0,0.610865,0.00344907,0.0,0.953716,-0.000518577,0.300705,0.00164472,0.0,0.0,-0.08,1,0,0,0,0,0
22156000,0.0,0.610865,0.00357685,0.0,0.953715,-0.00053779,0.300705,0.00170565,0.0,0.0,-0.08,1,0,0,0,0,0
22256000,0.0,0.610865,0.00354152,0.0,0.953715,-0.000532478,0.300705,0.0016888,0.0,0.0,-0.08,1,0,0,0,0,0
22352000,0.0,0.610865,0.00370983,0.0,0.953715,-0.000557783,0.300705,0.00176906,0.0,0.0,-0.08,1,0,0,0,0,0
22452000,0.0,0.610865,0.00371026,0.0,0.953715,-0.000557848,0.300705,0.00176927,0.0,0.0,-0.08,1,0,0,0,0,0
22552000,0.0,0.610865,0.00384742,0.0,0.953715,-0.00057847,0.300705,0.00183467,0.0,0.0,-0.08,1,0,0,0,0,0
22652000,0.0,0.610865,0.00425041,0.0,0.953715,-0.000639061,0.300705,0.00202684,0.0,0.0,-0.08,1,0,0,0,0,0
22752000,0.0,0.610865,0.00426408,0.0,0.953715,-0.000641116,0.300705,0.00203336,0.0,0.0,-0.08,1,0,0,0,0,0
22848000,0.0,0.610865,0.0043209,0.0,0.953715,-0.00064966,0.300705,0.00206046,0.0,0.0,-0.08,1,0,0,0,0,0
